lz,survey,sampled_date,province_name,province_code,district_name,district_code,municipality_name,municipality_code,main_place_name,main_place_code,village_name,village_code,pop,num_sas,approx_coord,village_and_coord
59101: Lowveld open access cattle and other income (ZALOC),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Nkomazi,876,Magogeni,876043,Magogeni SP,876043001,7386,12,"-25.7920, 31.6066","hea - Magogeni SP: -25.7920, 31.6066"
59101: Lowveld open access cattle and other income (ZALOC),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Nkomazi,876,Middelplaas,876033,Middelplaas SP,876033001,4365,6,"-25.7170, 31.5542","hea - Middelplaas SP: -25.7170, 31.5542"
59101: Lowveld open access cattle and other income (ZALOC),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Nkomazi,876,Ntunda,876035,Ntunda SP,876035001,3429,6,"-25.7315, 31.7538","continuum - Ntunda SP: -25.7315, 31.7538"
59101: Lowveld open access cattle and other income (ZALOC),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Umjindi,875,Bonanza Gold Mine,875001,Bonanza Gold Mine SP,875001001,1617,2,"-25.6992, 31.1693","continuum - Bonanza Gold Mine SP: -25.6992, 31.1693"
59104: Highveld border open access livestock (ZABOL),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Betty's Goed,860039,Betty's Goed SP,860039001,1476,3,"-26.2533, 30.9154","hea - Betty's Goed SP: -26.2533, 30.9154"
59104: Highveld border open access livestock (ZABOL),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Dundonald,860035,Dundonald SP,860035001,4770,11,"-26.2294, 30.8360","hea - Dundonald SP: -26.2294, 30.8360"
59104: Highveld border open access livestock (ZABOL),continuum,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Embhuleni,860011,Embhuleni SP,860011001,588,1,"-26.0215, 30.7713","continuum - Embhuleni SP: -26.0215, 30.7713"
59104: Highveld border open access livestock (ZABOL),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Enkhaba,860022,Enkhaba SP,860022001,528,1,"-26.0866, 30.9038","hea - Enkhaba SP: -26.0866, 30.9038"
59104: Highveld border open access livestock (ZABOL),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Etjelembube,860031,Etjelembube SP,860031001,2172,3,"-26.1873, 30.9164","hea - Etjelembube SP: -26.1873, 30.9164"
59104: Highveld border open access livestock (ZABOL),hea,2016-10-04,Mpumalanga,8,Gert Sibande,830,Albert Luthuli,860,Fernie,860050,Fernie SP,860050001,15693,29,"-26.4046, 30.7862","hea - Fernie SP: -26.4046, 30.7862"
