pr_name |      dc_name       |     mn_name      |       mp_name       |       sp_name       |  sp_code  | sa_code | pop_cen | pop_curr | mn_pop_cur | dc_pop_curr | pr_pop_curr
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Mpheleng            | Mpheleng SP         | 984051001 | 9840287 |     648 |      708 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Mpheleng            | Mpheleng SP         | 984051001 | 9840297 |     654 |      715 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Mpheleng            | Mpheleng SP         | 984051001 | 9840299 |     654 |      715 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Mpheleng            | Mpheleng SP         | 984051001 | 9840319 |     669 |      731 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Mpheleng            | Mpheleng SP         | 984051001 | 9840380 |     768 |      840 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Naganeng            | Naganeng SP         | 984044001 | 9840245 |     609 |      666 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Naganeng            | Naganeng SP         | 984044001 | 9840270 |     627 |      685 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840030 |     348 |      380 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840048 |     399 |      436 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840059 |     417 |      456 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840084 |     456 |      498 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840115 |     498 |      544 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840140 |     516 |      564 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840151 |     525 |      574 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840211 |     579 |      633 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840231 |     600 |      656 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840235 |     600 |      656 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ntwane              | Ntwane SP           | 984072001 | 9840259 |     624 |      682 |     272621 |     1176939 |     5826386
