 ea_code  |  sp_code  |       sp_name        | mp_code |        mp_name        | mn_code |     mn_name     | dc_code | dc_mdb_code |      dc_name       |  pr_name   |  survey   
 96610638 | 966083001 | Makuleke SP          |  966083 | Makuleke              |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610639 | 966083001 | Makuleke SP          |  966083 | Makuleke              |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610640 | 966083001 | Makuleke SP          |  966083 | Makuleke              |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610641 | 966083001 | Makuleke SP          |  966083 | Makuleke              |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610642 | 966083001 | Makuleke SP          |  966083 | Makuleke              |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610051 | 966215001 | Mtititi SP           |  966215 | Mtititi               |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610053 | 966215001 | Mtititi SP           |  966215 | Mtititi               |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610054 | 966215001 | Mtititi SP           |  966215 | Mtititi               |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 87710371 | 877070001 | Godide SP            |  877070 | Godide                |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710373 | 877070001 | Godide SP            |  877070 | Godide                |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710781 | 877070001 | Godide SP            |  877070 | Godide                |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710782 | 877070001 | Godide SP            |  877070 | Godide                |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710783 | 877070001 | Godide SP            |  877070 | Godide                |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710784 | 877070001 | Godide SP            |  877070 | Godide                |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710785 | 877070001 | Godide SP            |  877070 | Godide                |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710794 | 877070001 | Godide SP            |  877070 | Godide                |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710806 | 877070001 | Godide SP            |  877070 | Godide                |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710975 | 877020001 | Kgapamadi SP         |  877020 | Kgapamadi             |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710976 | 877020001 | Kgapamadi SP         |  877020 | Kgapamadi             |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710979 | 877020001 | Kgapamadi SP         |  877020 | Kgapamadi             |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710982 | 877020001 | Kgapamadi SP         |  877020 | Kgapamadi             |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87711021 | 877020001 | Kgapamadi SP         |  877020 | Kgapamadi             |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87711022 | 877020001 | Kgapamadi SP         |  877020 | Kgapamadi             |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87711023 | 877020001 | Kgapamadi SP         |  877020 | Kgapamadi             |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87711024 | 877020001 | Kgapamadi SP         |  877020 | Kgapamadi             |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710328 | 877095001 | Thabakgolo SP        |  877095 | Thabakgolo            |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710513 | 877095001 | Thabakgolo SP        |  877095 | Thabakgolo            |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710514 | 877095001 | Thabakgolo SP        |  877095 | Thabakgolo            |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710516 | 877095001 | Thabakgolo SP        |  877095 | Thabakgolo            |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710518 | 877095001 | Thabakgolo SP        |  877095 | Thabakgolo            |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710519 | 877095001 | Thabakgolo SP        |  877095 | Thabakgolo            |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710520 | 877095001 | Thabakgolo SP        |  877095 | Thabakgolo            |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710585 | 877095001 | Thabakgolo SP        |  877095 | Thabakgolo            |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
 87710589 | 877095001 | Thabakgolo SP        |  877095 | Thabakgolo            |     877 | Bushbuckridge   |     832 | DC32        | Ehlanzeni          | Mpumalanga | continuum
